json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-1.0431,0.42,-0.0476,0.42,77.4132,0.014,
-0.7832,0.4364,-0.051312,0.4364,77.8496,0.0164,
-0.7537,0.4441,-0.043228,0.4441,78.2937,0.0077,
-0.8465,0.4503,-0.042224,0.4503,78.744,0.0062,
-0.6444,0.4507,-0.036456,0.4507,79.1947,0.0004,
-0.6193,0.4459,-0.030872,0.4459,79.6406,-0.0048,
-0.4751,0.439,-0.02822,0.439,80.0796,-0.0069,
-0.3355,0.4237,-0.018596,0.4237,80.5033,-0.0153,
-0.2692,0.4103,-0.019424,0.4103,80.9136,-0.0134,
-0.0286,0.3948,-0.016084,0.3948,81.3084,-0.0155,
-0.0493,0.3678,-0.002424,0.3678,81.6762,-0.027,
0.0342,0.2911,0.053412,0.2911,81.9673,-0.0767,
0.3757,0.2762,-0.007196,0.2762,82.2435,-0.0149,
1.7716,0.3133,-0.062164,0.3133,82.5568,0.0371,
0.2564,0.3663,-0.082304,0.3663,82.9231,0.053,
-1.1178,0.4444,-0.113652,0.4444,83.3675,0.0781,
-1.6213,0.4939,-0.089012,0.4939,83.8614,0.0495,
-2.405,0.5607,-0.111656,0.5607,84.4221,0.0668,
-1.789,0.5994,-0.086652,0.5994,85.0215,0.0387,
-2.3551,0.6465,-0.09882,0.6465,85.668,0.0471,
-1.73,0.6701,-0.077208,0.6701,86.3381,0.0236,
-2.0342,0.6928,-0.078124,0.6928,87.0309,0.0227,
-1.4939,0.6991,-0.062228,0.6991,87.73,0.0063,
-1.5168,0.6985,-0.05528,0.6985,88.4285,-0.0006,
-1.1194,0.685,-0.0413,0.685,89.1135,-0.0135,
-0.9457,0.6678,-0.036224,0.6678,89.7813,-0.0172,
-0.5962,0.6309,-0.013572,0.6309,90.4122,-0.0369,
-0.4693,0.5993,-0.016344,0.5993,91.0115,-0.0316,
0.097,0.5632,-0.008956,0.5632,91.5747,-0.0361,
0.0277,0.521,0.00052,0.521,92.0957,-0.0422,
0.2124,0.506,-0.02548,0.506,92.6017,-0.015,
0.4493,0.4801,-0.012508,0.4801,93.0818,-0.0259,
-0.2007,0.4598,-0.016484,0.4598,93.5416,-0.0203,
0.1236,0.4252,0.000584,0.4252,93.9668,-0.0346,
0.0242,0.3998,-0.006584,0.3998,94.3666,-0.0254,
0.4509,0.3595,0.01154,0.3595,94.7261,-0.0403,
0.2717,0.3316,0.001372,0.3316,95.0577,-0.0279,
0.7248,0.2895,0.01894,0.2895,95.3472,-0.0421,
0.4706,0.2616,0.006972,0.2616,95.6088,-0.0279,
0.9098,0.2215,0.02238,0.2215,95.8303,-0.0401,
0.6106,0.1963,0.009496,0.1963,96.0266,-0.0252,
0.9958,0.1619,0.021448,0.1619,96.1885,-0.0344,
0.6737,0.1415,0.00908,0.1415,96.33,-0.0204,
0.9725,0.1247,0.006824,0.1247,96.4547,-0.0168,
0.6633,0.1632,-0.051556,0.1632,96.6179,0.0385,
0.6069,0.2544,-0.111552,0.2544,96.8723,0.0912,
-0.8526,0.32,-0.0912,0.32,97.1923,0.0656,
-2.3525,0.3843,-0.095044,0.3843,97.5766,0.0643,
-1.8437,0.4766,-0.130428,0.4766,98.0532,0.0923,
-1.9398,0.5342,-0.100336,0.5342,98.5874,0.0576,
-2.8244,0.6109,-0.125572,0.6109,99.1983,0.0767,
-2.0721,0.6546,-0.096068,0.6546,99.8529,0.0437,
-2.703,0.7069,-0.108852,0.7069,100.56,0.0523,
-1.9654,0.7323,-0.083984,0.7323,101.292,0.0254,
-2.285,0.7552,-0.083316,0.7552,102.047,0.0229,
-1.6633,0.7602,-0.065816,0.7602,102.807,0.005,
-1.6466,0.7571,-0.057468,0.7571,103.565,-0.0031,
-1.2091,0.7378,-0.039724,0.7378,104.302,-0.0193,
-1.0004,0.7155,-0.03494,0.7155,105.018,-0.0223,
-0.5568,0.6695,-0.00756,0.6695,105.687,-0.046,
-0.4372,0.6311,-0.012088,0.6311,106.318,-0.0384,
0.2473,0.5641,0.021872,0.5641,106.883,-0.067,
0.1341,0.5142,0.008764,0.5142,107.397,-0.0499,
0.9831,0.434,0.04548,0.434,107.831,-0.0802,
0.6554,0.3781,0.025652,0.3781,108.209,-0.0559,
1.5733,0.3281,0.023752,0.3281,108.537,-0.05,
1.0776,0.3186,-0.015988,0.3186,108.856,-0.0095,
1.0301,0.365,-0.0756,0.365,109.221,0.0464,
0.0366,0.435,-0.1048,0.435,109.656,0.07,
-1.4537,0.4803,-0.083724,0.4803,110.136,0.0453,
-2.1837,0.5224,-0.083892,0.5224,110.658,0.0421,
-1.6568,0.5787,-0.102596,0.5787,111.237,0.0563,
-1.661,0.6109,-0.081072,0.6109,111.848,0.0322,
-2.1286,0.6492,-0.090236,0.6492,112.497,0.0383,
-1.5905,0.6675,-0.0717,0.6675,113.165,0.0183,
-1.8196,0.6833,-0.070464,0.6833,113.848,0.0158,
-1.3562,0.6859,-0.057472,0.6859,114.534,0.0026,
-1.3253,0.6783,-0.046664,0.6783,115.212,-0.0076,
-1.0005,0.688,-0.06474,0.688,115.9,0.0097,
-0.7303,0.7232,-0.093056,0.7232,116.623,0.0352,
-1.1822,0.7697,-0.108076,0.7697,117.393,0.0465,
-1.8901,0.7922,-0.085876,0.7922,118.185,0.0225,
-2.2656,0.8114,-0.084112,0.8114,118.997,0.0192,
-1.7106,0.8141,-0.067828,0.8141,119.811,0.0027,
-1.6665,0.8032,-0.053356,0.8032,120.614,-0.0109,
-1.2594,0.7862,-0.045896,0.7862,121.4,-0.017,
-0.8976,0.7472,-0.020776,0.7472,122.147,-0.039,
-0.7111,0.7128,-0.022624,0.7128,122.86,-0.0344,
-0.0831,0.6505,0.01026,0.6505,123.511,-0.0623,
-0.1293,0.6035,-0.00128,0.6035,124.114,-0.047,
0.6928,0.6256,-0.072148,0.6256,124.74,0.0221,
0.4043,0.6825,-0.1115,0.6825,125.422,0.0569,
-1.3674,0.7386,-0.115188,0.7386,126.161,0.0561,
-2.3512,0.8113,-0.137604,0.8113,126.972,0.0727,
-2.4434,0.8509,-0.107672,0.8509,127.823,0.0396,
-3.0038,0.8941,-0.114728,0.8941,128.717,0.0432,
-2.2555,0.9116,-0.090428,0.9116,129.629,0.0175,
-2.4319,0.9201,-0.082108,0.9201,130.549,0.0085,
-1.8244,0.914,-0.06702,0.914,131.463,-0.0061,
-1.6164,0.8987,-0.056596,0.8987,132.361,-0.0153,
-1.2392,0.8596,-0.029668,0.8596,133.221,-0.0391,
-0.9786,0.8232,-0.029456,0.8232,134.044,-0.0364,
-0.3054,0.7555,0.00726,0.7555,134.8,-0.0677,
-0.3001,0.7023,-0.002984,0.7023,135.502,-0.0532,
0.6178,0.6137,0.039504,0.6137,136.116,-0.0886,
0.3617,0.5496,0.020132,0.5496,136.665,-0.0641,
1.4239,0.4833,0.027636,0.4833,137.149,-0.0663,
0.9396,0.381,0.07182,0.381,137.53,-0.1023,
1.1272,0.3119,0.044148,0.3119,137.842,-0.0691,
2.2318,0.2111,0.083912,0.2111,138.053,-0.1008,
1.54,0.1469,0.052448,0.1469,138.2,-0.0642,
2.5341,0.1053,0.033176,0.1053,138.305,-0.0416,
1.7475,0.1413,-0.047304,0.1413,138.446,0.036,
1.2657,0.229,-0.10602,0.229,138.675,0.0877,
-0.7463,0.2915,-0.08582,0.2915,138.967,0.0625,
-2.2142,0.385,-0.1243,0.385,139.352,0.0935,
-1.7092,0.4457,-0.096356,0.4457,139.797,0.0607,
-2.6712,0.5307,-0.127456,0.5307,140.328,0.085,
-1.9726,0.5822,-0.098076,0.5822,140.91,0.0515,
-2.7501,0.6283,-0.096364,0.6283,141.539,0.0461,
-2.0156,0.7204,-0.149732,0.7204,142.259,0.0921,
-1.9728,0.8721,-0.221468,0.8721,143.131,0.1517,
-3.307,1.1081,-0.324648,1.1081,144.239,0.236,
-5.1004,1.2509,-0.242872,1.2509,145.49,0.1428,
-7.6799,1.3765,-0.23572,1.3765,146.867,0.1256,
-5.6355,1.5305,-0.27644,1.5305,148.397,0.154,
-5.4567,1.6092,-0.207436,1.6092,150.006,0.0787,
-6.4747,1.686,-0.21168,1.686,151.692,0.0768,
-4.7496,1.7092,-0.159936,1.7092,153.401,0.0232,
-4.8557,1.71,-0.1376,1.71,155.112,0.0008,
-3.5621,1.6707,-0.094356,1.6707,156.782,-0.0393,
-3.0037,1.6187,-0.077496,1.6187,158.401,-0.052,
-1.9226,1.5178,-0.020524,1.5178,159.919,-0.1009,
-1.5011,1.5493,-0.155444,1.5493,161.468,0.0315,
-0.0768,1.5974,-0.175892,1.5974,163.065,0.0481,
-3.4498,1.6393,-0.173044,1.6393,164.705,0.0419,
-3.961,1.6416,-0.133628,1.6416,166.346,0.0023,
-3.8898,1.6203,-0.108324,1.6203,167.967,-0.0213,
-2.9044,1.5814,-0.087612,1.5814,169.548,-0.0389,
-2.2718,1.4925,-0.0305,1.4925,171.04,-0.0889,
-1.754,1.414,-0.03462,1.414,172.454,-0.0785,
-0.3262,1.3275,-0.0197,1.3275,173.782,-0.0865,
-0.4292,1.3295,-0.10836,1.3295,175.111,0.002,
-0.0562,1.327,-0.10366,1.327,176.438,-0.0025,
-2.2727,1.3023,-0.079484,1.3023,177.741,-0.0247,
-2.1552,1.2714,-0.070812,1.2714,179.012,-0.0309,
-1.5508,1.2048,-0.029784,1.2048,180.217,-0.0666,
-1.334,1.1479,-0.034932,1.1479,181.365,-0.0569,
-0.3083,1.0823,-0.020984,1.0823,182.447,-0.0656,
-0.437,0.9694,0.035348,0.9694,183.417,-0.1129,
-0.0883,0.8856,0.012952,0.8856,184.302,-0.0838,
1.32,0.7517,0.073764,0.7517,185.054,-0.1339,
0.7601,0.6583,0.040736,0.6583,185.712,-0.0934,
2.2804,0.5169,0.100048,0.5169,186.229,-0.1414,
1.4547,0.4232,0.059844,0.4232,186.652,-0.0937,
2.9375,0.4057,-0.014956,0.4057,187.058,-0.0175,
1.9324,0.6016,-0.244028,0.6016,187.66,0.1959,
0.0624,0.7559,-0.214772,0.7559,188.415,0.1543,
-5.6644,0.977,-0.29926,0.977,189.392,0.2211,
-4.933,1.1129,-0.224932,1.1129,190.505,0.1359,
-7.0452,1.2901,-0.280408,1.2901,191.795,0.1772,
-5.187,1.3884,-0.209372,1.3884,193.184,0.0983,
-6.5739,1.4685,-0.19758,1.4685,194.652,0.0801,
-4.798,1.5538,-0.209604,1.5538,196.206,0.0853,
-4.5032,1.5871,-0.160268,1.5871,197.793,0.0333,
-4.8038,1.658,-0.20354,1.658,199.451,0.0709,
-3.5704,1.7429,-0.224332,1.7429,201.194,0.0849,
-4.6522,1.8315,-0.23512,1.8315,203.026,0.0886,
-5.172,1.8633,-0.180864,1.8633,204.889,0.0318,
-5.4417,1.8719,-0.158352,1.8719,206.761,0.0086,
-4.0853,1.8429,-0.118432,1.8429,208.604,-0.029,
-3.5225,1.7966,-0.097428,1.7966,210.4,-0.0463,
-2.5245,1.6898,-0.028384,1.6898,212.09,-0.1068,
-1.9994,1.6867,-0.131836,1.6867,213.777,-0.0031,
-0.2733,1.7649,-0.219392,1.7649,215.542,0.0782,
-2.8596,1.8749,-0.259992,1.8749,217.417,0.11,
-5.0485,1.9247,-0.203776,1.9247,219.341,0.0498,
-6.0635,1.958,-0.18994,1.958,221.299,0.0333,
-4.6581,1.9523,-0.150484,1.9523,223.252,-0.0057,
-4.3122,1.903,-0.10294,1.903,225.155,-0.0493,
-3.3258,1.8437,-0.088196,1.8437,226.998,-0.0593,
-2.1372,1.7191,-0.012928,1.7191,228.717,-0.1246,
-1.7686,1.614,-0.02402,1.614,230.331,-0.1051,
0.1131,1.4296,0.070032,1.4296,231.761,-0.1844,
-0.1642,1.2911,0.035212,1.2911,233.052,-0.1385,
2.1871,1.1439,0.055688,1.1439,234.196,-0.1472,
1.3166,0.9106,0.160452,0.9106,235.107,-0.2333,
1.8285,0.8031,0.043252,0.8031,235.91,-0.1075,
4.4476,0.8058,-0.067164,0.8058,236.716,0.0027,
1.5176,0.8513,-0.113604,0.8513,237.567,0.0455,
-1.2428,0.8809,-0.100072,0.8809,238.448,0.0296,
-2.4038,0.907,-0.09866,0.907,239.355,0.0261,
-2.0655,0.9379,-0.105932,0.9379,240.293,0.0309,
-2.0302,0.9522,-0.090476,0.9522,241.245,0.0143,
-2.212,0.9625,-0.0873,0.9625,242.207,0.0103,
-1.8256,0.9613,-0.075704,0.9613,243.169,-0.0012,
-1.7462,0.9536,-0.068588,0.9536,244.122,-0.0077,
-1.4563,0.9297,-0.050476,0.9297,245.052,-0.0239,
-1.2784,0.9056,-0.048348,0.9056,245.958,-0.0241,
-0.8256,0.9027,-0.069316,0.9027,246.86,-0.0029,
-0.7724,0.9438,-0.116604,0.9438,247.804,0.0411,
-1.2966,0.9937,-0.129396,0.9937,248.798,0.0499,
-2.4788,1.0177,-0.105416,1.0177,249.815,0.024,
-2.7986,1.0328,-0.097724,1.0328,250.848,0.0151,
-2.1991,1.0386,-0.088888,1.0386,251.887,0.0058,
-2.0068,1.0312,-0.075096,1.0312,252.918,-0.0074,
-1.7859,1.0032,-0.052256,1.0032,253.921,-0.028,
-1.4411,1.0399,-0.119892,1.0399,254.961,0.0367,
-0.8701,1.1228,-0.172724,1.1228,256.084,0.0829,
-2.561,1.2391,-0.215428,1.2391,257.323,0.1163,
-3.8818,1.3025,-0.1676,1.3025,258.626,0.0634,
-4.9494,1.3705,-0.17764,1.3705,259.996,0.068,
-3.7537,1.3969,-0.138152,1.3969,261.393,0.0264,
-4.0047,1.407,-0.12266,1.407,262.8,0.0101,
-3.0175,1.3941,-0.098628,1.3941,264.194,-0.0129,
-2.6302,1.3466,-0.060228,1.3466,265.541,-0.0475,
-2.0294,1.2669,-0.021652,1.2669,266.808,-0.0797,
-1.0694,1.1974,-0.026292,1.1974,268.005,-0.0695,
-0.105,1.0731,0.038452,1.0731,269.078,-0.1243,
-0.221,0.9784,0.016428,0.9784,270.057,-0.0947,
1.3976,0.8241,0.088372,0.8241,270.881,-0.1543,
0.847,0.7149,0.052008,0.7149,271.596,-0.1092,
2.6456,0.5519,0.118848,0.5519,272.147,-0.163,
1.7365,0.4811,0.032312,0.4811,272.629,-0.0708,
3.4075,0.458,-0.01354,0.458,273.087,-0.0231,
1.2441,0.4328,-0.009424,0.4328,273.519,-0.0252,
0.0978,0.4105,-0.01054,0.4105,273.93,-0.0223,
0.2007,0.397,-0.01826,0.397,274.327,-0.0135,
0.1728,0.3846,-0.018368,0.3846,274.711,-0.0124,
-0.0202,0.3678,-0.012624,0.3678,275.079,-0.0168,
-0.0229,0.3575,-0.0183,0.3575,275.437,-0.0103,
0.1207,0.3438,-0.013804,0.3438,275.781,-0.0137,
-0.0212,0.3318,-0.014544,0.3318,276.112,-0.012,
0.0912,0.3246,-0.018768,0.3246,276.437,-0.0072,
0.0727,0.3438,-0.046704,0.3438,276.781,0.0192,
-0.0329,0.3839,-0.070812,0.3839,277.165,0.0401,
-0.7313,0.4942,-0.149836,0.4942,277.659,0.1103,
-1.334,0.5666,-0.117728,0.5666,278.225,0.0724,
-3.3096,0.6667,-0.153436,0.6667,278.892,0.1001,
-2.5069,0.7262,-0.117596,0.7262,279.618,0.0595,
-3.3996,0.7783,-0.114364,0.7783,280.397,0.0521,
-2.5036,0.842,-0.13106,0.842,281.239,0.0637,
-2.4228,0.8741,-0.102028,0.8741,282.113,0.0321,
-2.8402,0.9049,-0.103192,0.9049,283.018,0.0308,
-2.1144,0.9142,-0.082436,0.9142,283.932,0.0093,
-2.1435,0.9084,-0.066872,0.9084,284.84,-0.0058,
-1.6246,0.8932,-0.056256,0.8932,285.733,-0.0152,
-1.2355,0.854,-0.02912,0.854,286.587,-0.0392,
-0.9701,0.8174,-0.028792,0.8174,287.405,-0.0366,
-0.2917,0.749,0.00848,0.749,288.154,-0.0684,
-0.2835,0.6954,-0.002032,0.6954,288.849,-0.0536,
0.6483,0.606,0.04092,0.606,289.455,-0.0894,
0.3855,0.5415,0.02118,0.5415,289.997,-0.0645,
1.4593,0.5093,-0.008544,0.5093,290.506,-0.0322,
0.9658,0.4651,0.006992,0.4651,290.971,-0.0442,
0.2227,0.461,-0.03278,0.461,291.432,-0.0041,
0.6111,0.4543,-0.029644,0.4543,291.886,-0.0067,
-0.3832,0.4485,-0.03008,0.4485,292.335,-0.0058,
-0.3048,0.4373,-0.023784,0.4373,292.772,-0.0112,
-0.3157,0.4281,-0.025048,0.4281,293.2,-0.0092,
-0.1583,0.4121,-0.016968,0.4121,293.612,-0.016,
-0.1899,0.4,-0.0199,0.4,294.012,-0.0121,
0.0121,0.38,-0.0104,0.38,294.392,-0.02,
-0.0612,0.3657,-0.014956,0.3657,294.758,-0.0143,
0.1763,0.3507,-0.013056,0.3507,295.109,-0.015,
0.0624,0.3275,-0.003,0.3275,295.436,-0.0232,
0.1099,0.3115,-0.00892,0.3115,295.748,-0.016,
0.3613,0.2875,0.001,0.2875,296.035,-0.024,
0.2133,0.2718,-0.006044,0.2718,296.307,-0.0157,
0.4613,0.2491,0.002772,0.2491,296.556,-0.0227,
0.2852,0.2348,-0.004484,0.2348,296.791,-0.0143,
0.5056,0.2213,-0.004204,0.2213,297.012,-0.0135,
0.3242,0.2029,0.002168,0.2029,297.215,-0.0184,
0.3312,0.1919,-0.004352,0.1919,297.407,-0.011,
0.4905,0.1777,-1.6e-05,0.1777,297.585,-0.0142,
0.3275,0.1699,-0.005792,0.1699,297.755,-0.0078,
0.4359,0.1636,-0.006788,0.1636,297.918,-0.0063,
0.2915,0.1567,-0.005636,0.1567,298.075,-0.0069,
0.2666,0.1538,-0.009404,0.1538,298.229,-0.0029,
0.2954,0.1523,-0.010684,0.1523,298.381,-0.0015,
0.2012,0.2233,-0.088864,0.2233,298.604,0.071,
0.1692,0.6424,-0.470492,0.6424,299.247,0.4191,
